student_id,heures_revision_par_jour,temps_ecran_par_jour_heures,heures_sommeil_par_nuit,moyenne_scolaire_sur_20,niveau_stress
1,4.05,3.83,7.79,13.92,3
2,3.35,4.24,6.09,9.82,4
3,4.21,2.95,8.4,11.62,4
4,5.18,2.83,5.6,13.64,3
5,3.24,5.64,7.59,11.08,4
6,3.24,6.4,9.0,13.17,3
7,5.24,4.4,6.01,13.24,3
8,4.34,5.9,6.43,11.33,4
9,2.98,5.01,7.1,9.81,4
10,4.1,3.6,6.5,9.54,4
11,2.99,5.01,5.45,9.71,4
12,2.99,6.65,7.07,12.21,4
13,3.77,4.45,5.94,11.83,4
14,1.4,6.69,7.47,7.66,5
15,1.6,1.0,6.08,11.91,4
16,2.88,5.65,8.55,12.44,3
17,2.39,4.62,6.22,9.1,5
18,3.85,4.08,6.68,12.29,3
19,2.5,4.63,7.81,11.66,4
20,1.95,1.72,5.77,9.31,4
21,5.11,4.19,7.23,13.65,2
22,3.25,5.0,8.31,13.11,3
23,3.57,6.57,5.39,12.16,4
24,1.93,3.77,7.18,13.14,3
25,2.9,3.37,7.26,9.54,5
26,3.62,3.8,7.78,10.86,3
27,2.23,5.78,5.76,10.84,4
28,3.91,4.96,5.68,12.13,3
29,2.84,3.76,7.52,12.89,4
30,3.18,5.22,7.3,18.4,1
31,2.84,4.64,7.25,12.5,3
32,5.54,5.86,7.35,14.7,2
33,3.49,3.52,6.32,13.56,3
34,2.34,4.04,7.23,12.57,3
35,4.4,3.95,7.29,12.14,3
36,2.16,2.45,6.29,12.82,3
37,3.73,4.91,8.87,11.31,4
38,1.34,4.87,7.47,10.17,4
39,2.04,4.51,5.81,9.45,4
40,3.72,4.17,7.66,12.54,3
41,4.31,2.52,6.03,16.76,1
42,3.69,3.91,7.79,9.18,4
43,3.37,4.02,8.16,13.73,2
44,3.17,3.38,6.18,8.74,5
45,1.87,4.27,7.96,10.55,4
46,2.71,5.07,7.41,13.27,3
47,2.99,7.14,7.82,10.97,3
48,4.66,4.74,8.9,11.41,4
49,3.88,4.86,6.75,10.47,3
50,1.56,4.4,6.25,11.52,3
51,3.86,1.81,6.11,11.33,3
52,3.08,4.46,6.18,11.54,4
53,2.76,4.58,6.92,11.36,3
54,4.17,7.95,7.34,9.82,4
55,4.63,4.23,7.28,16.59,2
56,4.52,4.92,7.83,13.8,3
57,2.58,4.45,7.01,7.63,5
58,3.16,2.86,8.45,13.31,3
59,3.86,6.1,6.74,10.06,4
60,4.57,5.55,9.0,14.56,2
